jobId,jobTitle,companyName,companyUrl,location,salaryMin,salaryMax,salaryCurrency,salaryPeriod,employmentType,tags,postedAt,jobUrl,description
"offer5167053","Pracovník na VZV","Hydro Extrusion Slovakia a.s.","https://www.profesia.sk/praca/hydro-extrusion-slovakia-a-s/C33211","Na Vartičke, Žiar nad Hronom","1400","1400","EUR","mesiac","plný úväzok","Ladomerská Vieska,Skladník,Vodič vysokozdvižného vozíka,Hydro Extrusion Slovakia a.s.","2025-09-30","https://www.profesia.sk/praca/hydro-extrusion-slovakia/O5167053?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","- vykonáva nákladku a vykládku vozidiel;- prevoz, odvoz, triedenie a manipuláciu výrobkov, tovarua zásob; - uskladnenie a kontrolu, sníma a eviduje príjem, výdaj, presun, uloženie materiálu vrámci prevádzky- zabezpečuje uskladnenie a kontrolu (výrobky, zásoby, tovar, náradie, Al odpad, vstupný materiál, výstupný materiál, obalový materiál, baliaci materiál, odpad)- sníma a eviduje prijatý a vydaný materiál, presúva ho na miesto určenia zodpovedá za stav VZV, dodržiava pracovnú a technologickú disciplínu"
"offer5167055","Mechatronik na FAB","Hydro Extrusion Slovakia a.s.","https://www.profesia.sk/praca/hydro-extrusion-slovakia-a-s/C33211","Žiar nad Hronom","1700","1700","EUR","mesiac","plný úväzok","Žiar nad Hronom,Mechatronik,Hydro Extrusion Slovakia a.s.","2025-09-30","https://www.profesia.sk/praca/hydro-extrusion-slovakia/O5167055?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Zabezpečuje plynulú prevádzku elektronických a mechanických častí strojov a zariadení prevádzky.Vykonáva opravy a nastavenie výrobného zariadenia, diagnostiku poruchy, rôzne merania.Testuje zariadenie pred spätným zavedením do prevádzky.Zabezpečuje obsluhu strojných zariadení počas nočnej zmeny na prevádzke fabrikácia Rieši okamžité technické výpadky a poruchy na elektronickej aj mechanickej časti zariadení podľa ich priorít.Spolupracuje pri tvorbe plánu údržby.Informuje nadriadeného o zvolených prioritách ohľadom vzniknutých porúch, o problémoch, návrhoch a zlepšeniach.Udržuje technickú dokumentáciu a vytvára dokumentáciu k vlastným projektom.Spolupracuje pri inovačných projektoch pri tvorbe plánu údržby.Eviduje a rieši úlohy, ktoré vyplynuli z prevádzok (záznamy o vykonaných opravách a svojej činnosti počas pracovnej doby v požadovanom rozsahu za svoju zmenu)."
"offer5128203","Skladník / Skladníčka","DRÁČIK - TINACO, spol. s r.o.","https://www.profesia.sk/praca/dracik-tinaco-spol-s-r-o/C46878","Diaľničná cesta, Senec","1400","1400","EUR","mesiac","plný úväzok","Senec,Skladník,DRÁČIK - TINACO, spol. s r.o.","2025-09-30","https://www.profesia.sk/praca/dracik-tinaco/O5128203?search_id=37c62f23-a416-4486-9d2f-c215c695f259","- balenie a olepovanie tovaru - manipulácia s paletami"
"offer5167054","Montážny pracovník","AVIANA PLUS, s.r.o.","https://www.profesia.sk/praca/aviana-plus-s-r-o/C30382","Dolná 2066, Modra","1300","1300","EUR","mesiac","plný úväzok, skrátený úväzok, na dohodu (brigády), živnosť","Modra,Automechanik,Montážnik/montér,Strojný zámočník,AVIANA PLUS, s.r.o.","2025-09-30","https://www.profesia.sk/praca/aviana-plus/O5167054?search_id=37c62f23-a416-4486-9d2f-c215c695f259","Hľadáme montážnych pracovníkov na obsadenie pozícií pre výrobu automobilových nadstavieb.Budete vykonávať montážne práce podľa technickej dokumentácieVašou úlohou bude kontrolovať kvalitu vykonanej práce a dodržiavať technologické postupy.Typický deň na pracovnej pozícii zahŕňa spoluprácu s kolegami pri montáži a pravidelné porady o postupe prác.Pracovná doba je od pondelka do piatka, od 7:00 do 15:30, s možnosťou nadčasov podľa potreby."
"offer5167072","Zubný asistent - Family Dental Care - Senec","Family Dental Care s. r. o.","https://www.profesia.sk/praca/family-dental-care-s-r-o/C133021","Senec","1100","1100","EUR","mesiac","plný úväzok, skrátený úväzok, na dohodu (brigády), živnosť","Senec,Dentálna hygienička,Sestra,Zdravotnícky asistent,Zubný asistent,Family Dental Care s. r. o.","2025-09-30","https://www.profesia.sk/praca/family-dental-care/O5167072?search_id=37c62f23-a416-4486-9d2f-c215c695f259","​- práca zdravotníckeho asistenta / zubného asistenta v stomatologickej ambulancii kliniky Family Dental Care​- asistencia lekárovi a podpora kolegov v rámci teamu pod vedením hlavnej sestry​- starostlivosť o chod ambulancie​- proaktívny a empatický prístup k pacientovi​- PC práca s kartotékov a zdravotnými poisťovňami v rámci kompetencie asistenta​- komunikácia v cudzom jazyku výhodou, nie však podmienkou​"
"offer5157483","Skladník / vodič VZV, retrakár","DSV Slovakia, s.r.o.","https://www.profesia.sk/praca/dsv-slovakia-s-r-o/C5424","Senec","1300","1300","EUR","mesiac","plný úväzok","Senec,Skladník,Vodič vysokozdvižného vozíka,DSV Slovakia, s.r.o.","2025-09-15","https://www.profesia.sk/praca/dsv-slovakia/O5157483?search_id=37c62f23-a416-4486-9d2f-c215c695f259","Sme úspešná nadnárodná spoločnosť, s mnohoročnými skúsenosťami v logistike a radi Ťa príjmeme medzi nás. Aktuálne potrebujeme náš tím rozšíriť o retrakárov, prípadne vodičov VZV, ktorí sa radi zaučia a perspektívne chcú pracovať na VZV so schopnosťou zakladať tovar do regálov vo výškach (retrakár).* Náplň práce, právomoci a zodpovednosti- práca na VZV- vykládka/nakládka nákladných vozidiel- kontrola exportovaných paliet podľa nakládkového listu- kontrola stavu obalov, zaznačenie nezrovnalostí do dokumentov- preskladňovanie, inventúra- zodpovednosť za spracovanie replenishmentov- vychystávanie objednávok so skenermi- spolupráca s oddelením dopravy a logistiky- práca na 2 zmeny- práca v logistickom parku pri Senci"
"offer5167092","Zubný lekár - Neodent Malacky","Centrum dentálneho zdravia s.r.o.","https://www.profesia.sk/praca/centrum-dentalneho-zdravia-s-r-o/C258414","Malacky","4000","4000","EUR","mesiac","plný úväzok, skrátený úväzok","Malacky,Zubný lekár,Centrum dentálneho zdravia s.r.o.","2025-09-30","https://www.profesia.sk/praca/centrum-dentalneho-zdravia/O5167092?search_id=37c62f23-a416-4486-9d2f-c215c695f259","Náplň práce, právomoci a zodpovednostiDo nášho tímu prijmeme zubného lekára na plný / čiastočný úväzokNáplň práce:- poskytovanie komplexnej zubno - lekárskej starostlivosti,- diagnostika ochorení zubov a ústnej dutiny, identifikácia problému a realizácia výkonu,- navrhovanie liečebných plánov."
"offer5167064","Hľadáme manipulačných pracovníkov pre poprednú spoločnosť v distribúcii a poskytovaní služieb v oblasti automobilovej logistiky.","PROPLUSCO spol. s r. o.","https://www.profesia.sk/praca/proplusco-spol-s-r-o/C15879","Lozorno","8","8","EUR","hod","na dohodu (brigády), živnosť","Lozorno,Skladník,PROPLUSCO spol. s r. o.","2025-09-30","https://www.profesia.sk/praca/proplusco/O5167064?search_id=37c62f23-a416-4486-9d2f-c215c695f259","Na slovenskom trhu patríme medzi popredných hráčov a vďaka rozrastajúcemu sa objemu práce hľadáme nového kolegu do nášho tímu. Náplň práce: Manipulácia s tovarom Triedenie, uskladňovanie a príprava tovaru na expedíciuPráca so skenerom a interným skladovým systémomDodržiavanie bezpečnostných predpisov a čistoty na pracoviskuPracovný čas: pon-pia 8:00-16:30"
"offer4682291","Pomocný kuchár/kuchárka","Dubliner Irish Pub","https://www.profesia.sk/praca/dubliner-irish-pub/C14040","Sedlárska 6, Bratislava","1900","1900","EUR","mesiac","plný úväzok, na dohodu (brigády)","Bratislava,Pomocný kuchár,Dubliner Irish Pub","2025-09-15","https://www.profesia.sk/praca/dubliner-irish-pub/O4682291?search_id=37c62f23-a416-4486-9d2f-c215c695f259","Hľadáme pomocného kuchára do našej zabehnutej prevádzky v starom meste. Prevádzka zameraná na kuchyňu z prevažne mäsových a minútkových jedál. Pracuje sa (na dve zmeny) formou dlhého/krátkeho týždňa. Avšak, možná je aj flexibilnejšie nastavená pracovná doba v prípade potreby a spoločnej dohody na oboch stranách. Náplň práce: - príprava sendvičov a burgrov, krájanie zeleniny, príprava šalátov, príprava príloh, obaľovanie, príprava dezertov -vykladanie tovaru, kontrola surovín - pomocné práce pri príprave a výdaji obedového menu - zabezpečenie kvality pripravených pokrmov podľa receptúr - dodržiavanie správnych technologických postupov - dodržiavanie hygienických noriem a čistoty na pracovisku"
"offer5167085","Kuriér","MIMI trans, s.r.o.","https://www.profesia.sk/praca/mimi-trans-s-r-o/C249605","Dolný Hričov","1800","1800","EUR","mesiac","skrátený úväzok, živnosť","Dolný Hričov,Kuriér,MIMI trans, s.r.o.","2025-09-30","https://www.profesia.sk/praca/mimi-trans/O5167085?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","Rozvoz a zvoz balíkov"
"offer4982991","Zubný asistent, sestra v zubnej ambuláncii","DENTINA, s.r.o.","https://www.profesia.sk/praca/dentina-s-r-o/C207354","Hálkova 3, Žilina","1200","1200","EUR","mesiac","plný úväzok, skrátený úväzok","Žilina,Sestra,Zdravotnícky asistent,Zubný asistent,DENTINA, s.r.o.","2025-09-30","https://www.profesia.sk/praca/dentina/O4982991?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","Zubné ambulancia DENTINA, s.r.o., hľada kolegu či kolegyňu na pozíciu zdravotná sestra/zdravotnícky asistent/zubný asistent na trvalý pracovný pomer.Nástup možný ihneď.Náplň práce:asistencia lekarovi alebo dentálnej hygieničke pri stomatologických výkonoch, vratane práce s deťmi či chirurgickych vykonovudržiavanie čistoty v ambulancii, sterilizácia a dezinfekcia, zhotovovanie RTG snímkovkomunikácia s pacientami, praca na recepcii"
"offer5167021","Chopte sa príležitosti posledných voľných miest ako pomocný pracovník pri kaliacej linke.","Talent Solutions, s.r.o.","https://www.profesia.sk/praca/talent-solutions-s-r-o/C139829","Kysucké Nové Mesto","1400","1400","EUR","mesiac","plný úväzok","Kysucké Nové Mesto,Kontrolór kvality,Montážnik/montér,Operátor výroby,Talent Solutions, s.r.o.","2025-09-30","https://www.profesia.sk/praca/talent-solutions/O5167021?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","Do nášho tímu pomocných pracovníkov hľadáme nových kolegov/kolegyne, na pomocné práce pri kaliacej linke. Ponúkame stabilné výrobné prostredie a možnosť dlhodobej spolupráce. Ak si fyzicky zdatný/zdatná, si u nás vítaný/vítaná. Náplň práce: - pomocné práce pri kaliacej linke (nakladanie a vykladanie ložísk), - kontrola kvality a parametrov výrobkov, - dodržiavanie postupov podľa platných noriem, - vedenie výrobnej dokumentácie, - aktívna účasť na zlepšovaní výrobných procesov."
"offer5167093","Network engineer","SSE-TelcoHub, s.r.o.","https://www.profesia.sk/praca/sse-telcohub-s-r-o/C277570","Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)","2100","2100","EUR","mesiac","plný úväzok","Žilina,Dizajnér telekomunikačných sietí,IT projektový manažér,IT/Technical Support Specialist,Správca počítačovej siete,Špecialista IT bezpečnosti,SSE-TelcoHub, s.r.o.","2025-09-30","https://www.profesia.sk/praca/sse-telcohub/O5167093?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","zabezpečenie dostupnosti sieťových služieb na xPON sieťach, riešenie problémov, predchádzanie vzniku výpadkov, upgrade sieťových prvkov,konfigurácie sieťových zariadení najmä OLT, routers, switchesdohľad siete pomocou nástrojov na monitorovanie, identifikácia a predchádzanie vzniku porúch,tvorba a aktualizácia dokumentácie, vrátane sieťových topológií, konfigurácií,poskytovanie technickej podpory pre obchodných partnerov našej spoločnosti návrhy,komunikácia s dodávateľmi IT riešení pri optimalizácii siete a zvádzaní nových procesov a postupov."
"offer5167026","Bezpečnostný pracovník obchodná prevádzka Liptovský Hrádok","LAMA SK a. s.","https://www.profesia.sk/praca/lama-sk-a-s/C165941","Liptovský Hrádok","1100","1100","EUR","mesiac","plný úväzok, skrátený úväzok, na dohodu (brigády)","Liptovský Hrádok,Pracovník bezpečnostnej služby,LAMA SK a. s.","2025-09-30","https://www.profesia.sk/praca/lama-sk/O5167026?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","Fyzická ochrana obchodnej prevádzky v Liptovskom Hrádku"
"offer5157475","Staňte sa našou Hotelovou gazdinou! Ponúkame prácu v príjemnom prostredí a skvelý kolektív.","Family rezort penzión Mária ***","https://www.profesia.sk/praca/family-rezort-penzion-maria/C207332","Penzión Mária, Bodická, Bodice, Liptovský Mikuláš","1450","1450","EUR","mesiac","plný úväzok, živnosť","Liptovský Mikuláš,Chyžná,Upratovačka,Family rezort penzión Mária ***","2025-09-15","https://www.profesia.sk/praca/family-rezort-penzion-maria/O5157475?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","Zabezpečovanie kvality ubytovacích služieb, riadenie tímu chyžných, udržiavanie čistoty a stavu izieb a verejných priestorov podľa stanovených hotelových štandardov. Inventarizácia majetku, hospodárenie so skladovými zásobami a tvorba pracovných harmonogramov. Spolupráca s inými oddeleniami rezortu.​"
"offer5167025","Wellness recepčný/recepčná","Kaštieľ Gbeľany, s. r. o.","https://www.profesia.sk/praca/kastiel-gbelany-s-r-o/C184640","Gbeľany","5","5","EUR","hod","plný úväzok, skrátený úväzok, na dohodu (brigády)","Gbeľany,Recepčná,Kaštieľ Gbeľany, s. r. o.","2025-09-30","https://www.profesia.sk/praca/kastiel-gbelany/O5167025?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","Wellness recepčná- aktívna komunikácia s hosťami ohľadom rezervácií wellnessu a doplnkových služieb hotela- komunikácia s hosťami a riešenie ich požiadaviek- práca s pokladňou- zabezpečovanie plynulého chodu prevádzky wellness recepcie, bowlingu a fitness - kontrola a zabezpečovanie funkčnosti, čistoty, bezpečnosti zariadení wellness úseku, bowlingu a fitness- oboznamovanie hosťa s obsahom jednotlivých procedúr, ich prínosy a riziká pre jeho zdravie, s pravidlami bezpečnosti a hygienickými zásadami pri používaní sáun atď.- príprava (upratovanie) priestorov pred otvorením prevádzky a zabezpečovanie čistoty počas otváracej doby wellness, fitness a bowlingu - vykonávanie sanitácie wellness centra na pravidelnej báze v spolupráci s chyžnýmiRecepčnápráca na recepcii hotela nepravidelná pracovná doba (podľa dohody)aktívna telefonická a e-mailová komunikácia ohľadom rezervácií hotelových izieb s klientmirezervácia izieb, spracovanie a vytváranie rooming listovevidencia hostí, check in, check outpráca s pokladňou, účtovanie hostíadministratívne spracovávanie poskytnutých dát a ich evidencia v rezervačnom systéme Mefistozodpovednosť za aktualizáciu dát a cien v rezervačnom systémespolupráca s jednotlivými oddeleniami (wellness, reštaurácia, housekeeping)zodpovednosť za zverenú hotovosť a trezor"
"offer5157478","Vodič - Žilina a okolie","CIMBAĽÁK s.r.o.","https://www.profesia.sk/praca/cimbalak-s-r-o/C31256","Žilinský kraj","1100","1100","EUR","mesiac","plný úväzok","Žilinský kraj,Vodič,CIMBAĽÁK s.r.o.","2025-09-15","https://www.profesia.sk/praca/cimbalak/O5157478?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","vodič s oprávnením ""B"" skupiny bude mať náplň práce:a) rozvoz tovaru k zákazníkovi podľa plánovaniab) potvrdzovanie dokladov u zákazníkovc) zabezpečenie kontroly technického stavu vozidla a čistoty vozidla"
"offer5100442","Zubný lekár","PETRAMED s.r.o.","https://www.profesia.sk/praca/petramed-s-r-o/C175566","PETRAMED, Slovenských dobrovoľníkov, Čadca","7500","7500","EUR","mesiac","plný úväzok, skrátený úväzok, živnosť","Čadca,Zubný lekár,PETRAMED s.r.o.","2025-09-15","https://www.profesia.sk/praca/petramed/O5100442?search_id=a805f636-2bfa-4c4c-a114-3596b554cf63","Aktívne sa venuješ prevažne konzervatívnej stomatológii, endodontickým ošetreniam a ľahšej protetike.Vyhodnocuješ vstupné vyšetrenia a navrhuješ optimálne riešenia pre pacienta.Máš komplexný pohľad na pacienta a vytváraš mu príjemné prostredie a pocit komfortu.Poskytuješ kvalitnú a profesionálnu starostlivosť o zuby pacientov.Poradíš pacientom s pravidelným ústnym hygienickým režimom a prevenciou proti zubnému ochoreniu."